"ID","ChoiceSet","Alternative","Weed","Crawl","Fly","Cost","F","ChosenAlternative"
21,2,3,5,10,20,20,1,2
21,3,1,25,10,20,0,1,3
21,3,2,20,2,8,20,1,3
21,3,3,5,8,20,60,1,3
21,4,1,25,10,20,0,1,2
21,4,2,10,2,8,80,1,2
21,4,3,20,4,16,80,1,2
21,5,1,25,10,20,0,1,3
21,5,2,5,10,12,60,1,3
21,5,3,10,4,12,20,1,3
22,1,1,25,10,20,0,0,2
22,1,2,15,4,8,40,0,2
22,1,3,10,10,12,20,0,2
22,2,1,25,10,20,0,0,2
22,2,2,10,2,16,40,0,2
22,2,3,10,6,20,100,0,2
22,3,1,25,10,20,0,0,3
22,3,2,25,4,20,20,0,3
22,3,3,20,6,12,40,0,3
22,4,1,25,10,20,0,0,2
22,4,2,15,10,20,60,0,2
22,4,3,20,10,16,40,0,2
22,5,1,25,10,20,0,0,3
22,5,2,20,2,16,80,0,3
22,5,3,15,4,20,80,0,3
23,1,1,25,10,20,0,0,3
23,1,2,25,6,4,60,0,3
23,1,3,15,6,16,20,0,3
23,2,1,25,10,20,0,0,2
23,2,2,25,10,16,100,0,2
23,2,3,15,6,12,80,0,2
23,3,1,25,10,20,0,0,3
23,3,2,15,10,4,20,0,3
23,3,3,5,6,4,40,0,3
23,4,1,25,10,20,0,0,3
23,4,2,15,2,20,40,0,3
23,4,3,5,6,12,80,0,3
23,5,1,25,10,20,0,0,2
23,5,2,25,6,8,60,0,2
23,5,3,15,10,12,40,0,2
24,1,1,25,10,20,0,0,2
24,1,2,5,4,16,20,0,2
24,1,3,25,8,8,60,0,2
24,2,1,25,10,20,0,0,3
24,2,2,10,10,16,60,0,3
24,2,3,20,6,8,100,0,3
24,3,1,25,10,20,0,0,2
24,3,2,10,10,4,20,0,2
24,3,3,25,4,12,100,0,2
24,4,1,25,10,20,0,0,3
24,4,2,15,4,4,80,0,3
24,4,3,5,10,8,20,0,3
24,5,1,25,10,20,0,0,2
24,5,2,5,2,12,60,0,2
24,5,3,25,10,4,40,0,2
25,1,1,25,10,20,0,0,2
25,1,2,20,2,4,60,0,2
25,1,3,20,6,8,40,0,2
25,2,1,25,10,20,0,0,2
25,2,2,25,6,12,20,0,2
25,2,3,15,8,8,80,0,2
25,3,1,25,10,20,0,0,1
25,3,2,25,8,12,80,0,1
25,3,3,15,10,8,20,0,1
25,4,1,25,10,20,0,0,2
25,4,2,15,2,16,60,0,2
25,4,3,20,8,16,80,0,2
25,5,1,25,10,20,0,0,3
25,5,2,15,8,20,80,0,3
25,5,3,5,4,12,60,0,3
26,1,1,25,10,20,0,0,3
26,1,2,25,8,20,40,0,3
26,1,3,5,2,4,80,0,3
26,2,1,25,10,20,0,0,3
26,2,2,10,8,4,80,0,3
26,2,3,5,10,16,40,0,3
26,3,1,25,10,20,0,0,2
26,3,2,25,10,12,20,0,2
26,3,3,25,10,8,60,0,2
26,4,1,25,10,20,0,0,3
26,4,2,25,2,8,60,0,3
26,4,3,15,4,12,60,0,3
26,5,1,25,10,20,0,0,2
26,5,2,20,6,4,60,0,2
26,5,3,10,6,20,40,0,2
27,1,1,25,10,20,0,1,1
27,1,2,20,8,20,40,1,1
27,1,3,25,8,16,100,1,1
27,2,1,25,10,20,0,1,1
27,2,2,15,8,16,80,1,1
27,2,3,20,8,20,100,1,1
27,3,1,25,10,20,0,1,2
27,3,2,25,6,4,80,1,2
27,3,3,10,2,16,80,1,2
27,4,1,25,10,20,0,1,3
27,4,2,20,2,8,20,1,3
27,4,3,5,4,12,20,1,3
27,5,1,25,10,20,0,1,2
27,5,2,15,10,4,40,1,2
27,5,3,5,8,20,40,1,2
28,1,1,25,10,20,0,1,2
28,1,2,5,4,12,20,1,2
28,1,3,25,4,4,100,1,2
28,2,1,25,10,20,0,1,2
28,2,2,15,4,16,80,1,2
28,2,3,20,6,12,20,1,2
28,3,1,25,10,20,0,1,2
28,3,2,5,4,16,100,1,2
28,3,3,20,6,8,40,1,2
28,4,1,25,10,20,0,1,3
28,4,2,15,8,16,40,1,3
28,4,3,10,10,12,80,1,3
28,5,1,25,10,20,0,1,1
28,5,2,15,8,8,20,1,1
28,5,3,20,6,12,100,1,1
29,1,1,25,10,20,0,1,1
29,1,2,20,4,16,60,1,1
29,1,3,20,10,8,60,1,1
29,2,1,25,10,20,0,1,2
29,2,2,25,8,16,20,1,2
29,2,3,5,10,16,20,1,2
29,3,1,25,10,20,0,1,3
29,3,2,15,2,20,60,1,3
29,3,3,15,2,8,100,1,3
29,4,1,25,10,20,0,1,3
29,4,2,10,10,8,40,1,3
29,4,3,20,2,12,40,1,3
29,5,1,25,10,20,0,1,3
29,5,2,20,8,20,100,1,3
29,5,3,10,8,16,40,1,3
30,1,1,25,10,20,0,1,3
30,1,2,10,2,16,20,1,3
30,1,3,25,8,4,20,1,3
30,2,1,25,10,20,0,1,1
30,2,2,25,10,8,60,1,1
30,2,3,5,4,16,60,1,1
30,3,1,25,10,20,0,1,2
30,3,2,20,4,8,80,1,2
30,3,3,25,10,4,100,1,2
30,4,1,25,10,20,0,1,2
30,4,2,25,10,8,40,1,2
30,4,3,5,8,16,40,1,2
30,5,1,25,10,20,0,1,2
30,5,2,25,10,12,20,1,2
30,5,3,15,6,20,40,1,2
31,1,1,25,10,20,0,0,3
31,1,2,20,2,8,100,0,3
31,1,3,15,6,16,40,0,3
31,2,1,25,10,20,0,0,3
31,2,2,25,8,4,80,0,3
31,2,3,15,2,4,100,0,3
31,3,1,25,10,20,0,0,3
31,3,2,15,6,20,100,0,3
31,3,3,15,6,20,60,0,3
31,4,1,25,10,20,0,0,2
31,4,2,15,2,12,60,0,2
31,4,3,20,8,20,40,0,2
31,5,1,25,10,20,0,0,3
31,5,2,25,4,4,100,0,3
31,5,3,5,6,8,20,0,3
32,1,1,25,10,20,0,0,3
32,1,2,15,8,20,100,0,3
32,1,3,15,4,16,100,0,3
32,2,1,25,10,20,0,0,3
32,2,2,5,10,12,40,0,3
32,2,3,20,4,4,60,0,3
32,3,1,25,10,20,0,0,3
32,3,2,25,8,12,20,0,3
32,3,3,20,2,12,100,0,3
32,4,1,25,10,20,0,0,3
32,4,2,5,2,16,80,0,3
32,4,3,5,6,16,60,0,3
32,5,1,25,10,20,0,0,3
32,5,2,15,10,4,80,0,3
32,5,3,15,2,8,80,0,3
33,1,1,25,10,20,0,1,3
33,1,2,10,8,8,80,1,3
33,1,3,25,6,4,20,1,3
33,2,1,25,10,20,0,1,3
33,2,2,15,10,12,60,1,3
33,2,3,15,2,12,20,1,3
33,3,1,25,10,20,0,1,3
33,3,2,25,10,20,100,1,3
33,3,3,20,8,4,100,1,3
33,4,1,25,10,20,0,1,3
33,4,2,5,10,16,40,1,3
33,4,3,10,4,4,100,1,3
33,5,1,25,10,20,0,1,3
33,5,2,20,10,20,20,1,3
33,5,3,10,2,16,20,1,3
34,1,1,25,10,20,0,0,3
34,1,2,5,4,12,80,0,3
34,1,3,10,10,4,60,0,3
34,2,1,25,10,20,0,0,2
34,2,2,10,6,4,60,0,2
34,2,3,15,10,8,80,0,2
34,3,1,25,10,20,0,0,3
34,3,2,10,2,20,60,0,3
34,3,3,10,4,4,80,0,3
34,4,1,25,10,20,0,0,3
34,4,2,10,10,16,100,0,3
34,4,3,25,4,8,40,0,3
34,5,1,25,10,20,0,0,3
34,5,2,15,2,12,60,0,3
34,5,3,15,6,4,40,0,3
35,1,1,25,10,20,0,1,2
35,1,2,5,2,8,20,1,2
35,1,3,20,8,4,100,1,2
35,2,1,25,10,20,0,1,3
35,2,2,10,10,4,40,1,3
35,2,3,10,6,8,60,1,3
35,3,1,25,10,20,0,1,2
35,3,2,15,8,8,20,1,2
35,3,3,25,8,4,20,1,2
35,4,1,25,10,20,0,1,3
35,4,2,5,2,8,100,1,3
35,4,3,25,4,4,40,1,3
35,5,1,25,10,20,0,1,3
35,5,2,10,10,12,80,1,3
35,5,3,5,4,12,60,1,3
36,1,1,25,10,20,0,0,2
36,1,2,5,6,12,40,0,2
36,1,3,5,4,8,100,0,2
36,2,1,25,10,20,0,0,2
36,2,2,5,10,8,60,0,2
36,2,3,10,8,20,20,0,2
36,3,1,25,10,20,0,0,1
36,3,2,15,10,20,60,0,1
36,3,3,20,10,20,40,0,1
36,4,1,25,10,20,0,0,3
36,4,2,25,10,20,100,0,3
36,4,3,10,2,20,100,0,3
36,5,1,25,10,20,0,0,2
36,5,2,25,4,4,40,0,2
36,5,3,15,10,16,100,0,2
37,1,1,25,10,20,0,1,1
37,1,2,5,2,16,60,1,1
37,1,3,25,10,12,80,1,1
37,2,1,25,10,20,0,1,3
37,2,2,15,10,12,80,1,3
37,2,3,25,6,12,40,1,3
37,3,1,25,10,20,0,1,2
37,3,2,15,6,12,60,1,2
37,3,3,10,2,20,40,1,2
37,4,1,25,10,20,0,1,3
37,4,2,5,4,8,60,1,3
37,4,3,10,10,16,40,1,3
37,5,1,25,10,20,0,1,3
37,5,2,5,10,20,40,1,3
37,5,3,15,4,8,40,1,3
38,1,1,25,10,20,0,1,2
38,1,2,25,6,4,20,1,2
38,1,3,15,10,8,20,1,2
38,2,1,25,10,20,0,1,3
38,2,2,25,10,16,20,1,3
38,2,3,15,4,16,100,1,3
38,3,1,25,10,20,0,1,2
38,3,2,25,10,4,20,1,2
38,3,3,25,8,16,100,1,2
38,4,1,25,10,20,0,1,2
38,4,2,15,4,12,100,1,2
38,4,3,20,8,20,80,1,2
38,5,1,25,10,20,0,1,3
38,5,2,20,4,12,60,1,3
38,5,3,25,8,4,40,1,3
39,1,1,25,10,20,0,0,2
39,1,2,20,8,12,20,0,2
39,1,3,10,10,12,100,0,2
39,2,1,25,10,20,0,0,2
39,2,2,20,2,8,60,0,2
39,2,3,15,2,8,100,0,2
39,3,1,25,10,20,0,0,3
39,3,2,5,8,4,80,0,3
39,3,3,5,2,4,40,0,3
39,4,1,25,10,20,0,0,3
39,4,2,25,2,4,40,0,3
39,4,3,10,6,4,80,0,3
39,5,1,25,10,20,0,0,3
39,5,2,5,8,20,40,0,3
39,5,3,5,10,16,40,0,3
40,1,1,25,10,20,0,0,2
40,1,2,5,10,8,20,0,2
40,1,3,25,6,16,40,0,2
40,2,1,25,10,20,0,0,2
40,2,2,5,6,20,20,0,2
40,2,3,15,6,12,20,0,2
40,3,1,25,10,20,0,0,3
40,3,2,20,10,20,60,0,3
40,3,3,5,10,8,20,0,3
40,4,1,25,10,20,0,0,3
40,4,2,20,2,16,20,0,3
40,4,3,5,4,20,60,0,3
40,5,1,25,10,20,0,0,3
40,5,2,10,10,20,80,0,3
40,5,3,20,2,20,80,0,3
41,1,1,25,10,20,0,0,3
41,1,2,20,6,12,20,0,3
41,1,3,10,6,16,60,0,3
41,2,1,25,10,20,0,0,3
41,2,2,25,8,12,80,0,3
41,2,3,20,8,12,40,0,3
41,3,1,25,10,20,0,0,2
41,3,2,10,8,12,100,0,2
41,3,3,15,8,8,60,0,2
41,4,1,25,10,20,0,0,2
41,4,2,25,8,8,80,0,2
41,4,3,25,10,20,20,0,2
41,5,1,25,10,20,0,0,2
41,5,2,5,10,12,80,0,2
41,5,3,25,2,16,20,0,2
42,1,1,25,10,20,0,0,2
42,1,2,5,4,20,80,0,2
42,1,3,15,10,12,60,0,2
42,2,1,25,10,20,0,0,3
42,2,2,10,10,20,100,0,3
42,2,3,10,8,16,80,0,3
42,3,1,25,10,20,0,0,2
42,3,2,25,4,8,100,0,2
42,3,3,20,8,20,80,0,2
42,4,1,25,10,20,0,0,1
42,4,2,20,8,12,40,0,1
42,4,3,25,8,4,100,0,1
42,5,1,25,10,20,0,0,2
42,5,2,20,4,4,80,0,2
42,5,3,25,2,8,100,0,2
43,1,1,25,10,20,0,0,2
43,1,2,10,4,4,20,0,2
43,1,3,15,2,20,100,0,2
43,2,1,25,10,20,0,0,2
43,2,2,5,6,4,100,0,2
43,2,3,10,6,16,80,0,2
43,3,1,25,10,20,0,0,3
43,3,2,20,10,20,40,0,3
43,3,3,15,6,8,100,0,3
43,4,1,25,10,20,0,0,3
43,4,2,20,10,16,40,0,3
43,4,3,15,4,4,80,0,3
43,5,1,25,10,20,0,0,2
43,5,2,20,2,4,20,0,2
43,5,3,10,8,12,40,0,2
44,1,1,25,10,20,0,0,2
44,1,2,15,2,12,20,0,2
44,1,3,15,8,8,40,0,2
44,2,1,25,10,20,0,0,2
44,2,2,5,10,8,40,0,2
44,2,3,15,2,16,20,0,2
44,3,1,25,10,20,0,0,2
44,3,2,5,6,8,20,0,2
44,3,3,20,8,12,100,0,2
44,4,1,25,10,20,0,0,2
44,4,2,10,2,4,20,0,2
44,4,3,20,8,20,20,0,2
44,5,1,25,10,20,0,0,2
44,5,2,15,6,4,60,0,2
44,5,3,15,2,12,60,0,2
45,1,1,25,10,20,0,0,1
45,1,2,25,10,12,40,0,1
45,1,3,25,4,16,100,0,1
45,2,1,25,10,20,0,0,2
45,2,2,25,6,8,100,0,2
45,2,3,10,10,16,40,0,2
45,3,1,25,10,20,0,0,3
45,3,2,10,4,8,100,0,3
45,3,3,15,2,16,20,0,3
45,4,1,25,10,20,0,0,3
45,4,2,10,4,8,100,0,3
45,4,3,15,2,8,80,0,3
45,5,1,25,10,20,0,0,2
45,5,2,5,2,12,20,0,2
45,5,3,10,8,16,80,0,2
46,1,1,25,10,20,0,1,2
46,1,2,10,8,4,60,1,2
46,1,3,25,10,4,100,1,2
46,2,1,25,10,20,0,1,2
46,2,2,10,2,8,80,1,2
46,2,3,25,6,4,60,1,2
46,3,1,25,10,20,0,1,2
46,3,2,20,6,8,100,1,2
46,3,3,20,4,8,80,1,2
46,4,1,25,10,20,0,1,3
46,4,2,20,2,20,100,1,3
46,4,3,15,4,8,20,1,3
46,5,1,25,10,20,0,1,3
46,5,2,20,2,20,100,1,3
46,5,3,20,4,16,40,1,3
47,1,1,25,10,20,0,0,3
47,1,2,25,6,20,40,0,3
47,1,3,10,10,20,80,0,3
47,2,1,25,10,20,0,0,3
47,2,2,15,10,20,100,0,3
47,2,3,15,8,8,60,0,3
47,3,1,25,10,20,0,0,3
47,3,2,15,4,20,20,0,3
47,3,3,10,2,8,20,0,3
47,4,1,25,10,20,0,0,2
47,4,2,10,4,8,40,0,2
47,4,3,25,4,12,20,0,2
47,5,1,25,10,20,0,0,3
47,5,2,15,10,16,20,0,3
47,5,3,10,2,8,80,0,3
48,1,1,25,10,20,0,0,3
48,1,2,25,2,20,80,0,3
48,1,3,5,10,12,60,0,3
48,2,1,25,10,20,0,0,3
48,2,2,20,6,20,40,0,3
48,2,3,20,6,16,20,0,3
48,3,1,25,10,20,0,0,3
48,3,2,10,2,12,100,0,3
48,3,3,25,2,4,20,0,3
48,4,1,25,10,20,0,0,2
48,4,2,25,6,4,80,0,2
48,4,3,10,6,20,100,0,2
48,5,1,25,10,20,0,0,3
48,5,2,20,8,4,40,0,3
48,5,3,5,4,12,40,0,3
49,1,1,25,10,20,0,0,3
49,1,2,15,6,16,20,0,3
49,1,3,5,6,12,20,0,3
49,2,1,25,10,20,0,0,2
49,2,2,25,2,4,40,0,2
49,2,3,25,6,4,80,0,2
49,3,1,25,10,20,0,0,2
49,3,2,20,2,4,80,0,2
49,3,3,25,2,8,40,0,2
49,4,1,25,10,20,0,0,2
49,4,2,10,2,8,40,0,2
49,4,3,20,6,4,20,0,2
49,5,1,25,10,20,0,0,3
49,5,2,25,8,16,80,0,3
49,5,3,20,4,8,60,0,3
50,1,1,25,10,20,0,0,2
50,1,2,15,4,4,20,0,2
50,1,3,20,8,8,20,0,2
50,2,1,25,10,20,0,0,1
50,2,2,15,10,8,40,0,1
50,2,3,20,2,20,40,0,1
50,3,1,25,10,20,0,0,3
50,3,2,15,2,16,20,0,3
50,3,3,5,4,16,80,0,3
50,4,1,25,10,20,0,0,2
50,4,2,25,8,8,40,0,2
50,4,3,20,4,16,60,0,2
50,5,1,25,10,20,0,0,3
50,5,2,25,6,12,60,0,3
50,5,3,25,2,16,100,0,3
51,1,1,25,10,20,0,0,2
51,1,2,15,2,4,20,0,2
51,1,3,20,10,12,40,0,2
51,2,1,25,10,20,0,0,3
51,2,2,25,8,16,20,0,3
51,2,3,10,6,8,80,0,3
51,3,1,25,10,20,0,0,3
51,3,2,15,2,20,40,0,3
51,3,3,5,4,4,20,0,3
51,4,1,25,10,20,0,0,3
51,4,2,25,2,12,100,0,3
51,4,3,5,2,20,60,0,3
51,5,1,25,10,20,0,0,2
51,5,2,10,10,4,100,0,2
51,5,3,25,10,20,20,0,2
52,1,1,25,10,20,0,1,3
52,1,2,15,6,16,100,1,3
52,1,3,5,10,16,20,1,3
52,2,1,25,10,20,0,1,3
52,2,2,20,2,16,100,1,3
52,2,3,15,4,12,100,1,3
52,3,1,25,10,20,0,1,1
